Codigo;CodigoSolapa;CodigoRenglon;Texto;TextoToolTip;HoraInicio;CantidadHoras;HoraInicioProg;CantidadHorasProg;Renglones;Solapas;ID;Disponible;Finalizada;Descripcion;CantidadHorasProgPrep;CantidadHorasProgProd;FactorConversion;Cantidad;Cantidad1;FechaInicioConvertida;HoraInicioConvertida
279661;2;4;69429 - CONFECCION;;45600.13574074069;0.7775;42430.0;0.7770833333333333;123;Conf Rollos;FAM 30657;True;False;(30657) RP2106750-Rollo 2 pulgadas 106,7 cm x 50 mts 80 grs CANT:250;0.08333333333333333;0.69375;1.0;250.0;0.0;2024-11-04;03:15:27
284709;2;4;70125 - CONFECCION;;45599.358240740694;0.7775;42459.0;0.7770833333333333;123;Conf Rollos;FAM 30909;True;False;(30909) RP2106750-Rollo 2 pulgadas 106,7 cm x 50 mts 80 grs CANT:250;0.08333333333333333;0.69375;1.0;250.0;0.0;2024-11-03;08:35:51
284710;2;4;70123 - CONFECCION;;45598.469907407365;0.63875;42459.0;0.6388888888888888;123;Conf Rollos;FAM 30908;True;False;(30908) RP3914100-Rollo 3 pulgadas 91.4 cm x 100 m, Offset 80 g,  fu CANT:200;0.08333333333333333;0.5555555555555556;1.0;200.0;0.0;2024-11-02;11:16:39
285825;2;4;70356 - CONFECCION;;45599.10865740736;0.24958333333333335;42465.0;0.25;123;Conf Rollos;FAM 31006;True;False;(31006) RP2914050-Rollos 2 pulgadas 91.4 cm x 50 m Offset 80 g, fund CANT:60;0.08333333333333333;0.16666666666666666;1.0;60.0;0.0;2024-11-03;02:36:27
287279;1;6;CF;;45646.32421875;1.8266557455062866;42483.12890625;0.0;370;Confecc Bolsas;;True;False;;0.0;0.0;1.0;0.0;0.0;2024-12-20;07:46:52
291543;2;4;71572 - CONFECCION;;45598.27615740737;0.19375;42523.0;0.19375;123;Conf Rollos;FAM 31438;True;False;(31438) RP2914050-Rollos 2 pulgadas 91.4 cm x 50 m Offset 80 g, fund CANT:40;0.08333333333333333;0.11041666666666666;1.0;40.0;0.0;2024-11-02;06:37:39
300643;1;7;NP;;45650.55078125;2.017988443374634;42522.5390625;0.0;395;Confecc Bolsas;;True;False;;0.0;0.0;1.0;0.0;0.0;2024-12-24;13:13:07
302029;2;4;71682 - CONFECCION;;45600.91324074069;2.3054166666666664;42650.0;2.3055555555555554;123;Conf Rollos;FAM 31473;True;False;(31473) RP2610050-Rollo 2 pulgadas 61 cm x 50 m Offset 80 g Funda po CANT:800;0.08333333333333333;2.2222222222222223;1.0;800.0;0.0;2024-11-04;21:55:03
307770;2;4;5330 - IMPRESION;;45626.19990740736;0.15;42698.0;0.15;123;Conf Rollos;HOM  3070;True;False;(3070) XRJFS0001IMP-BOBINA OBRA  055 GR 46 CM JFS IMPRESA CANT:371;0.125;0.025;1.0;371.0;0.0;2024-11-30;04:47:51
307772;2;4;5327 - IMPRESION;;45603.21865740736;0.17625000000000002;42698.0;0.1763888888888889;123;Conf Rollos;HOM  3069;True;False;(3069) XRREY7530IMP-BOBINA IMPRESA CANT:743;0.125;0.05138888888888889;1.0;743.0;0.0;2024-11-07;05:14:51
307789;2;4;5334 - CONFECCION;;45605.061157407355;0.2225;42697.0;0.2222222222222222;123;Conf Rollos;HOM  3072;True;False;(3072) RP2610045-Rollos 2 pulgadas 61.0 cm x 45 m Offset 90 gr CANT:50;0.08333333333333333;0.1388888888888889;1.0;50.0;0.0;2024-11-09;01:28:03
308035;2;4;5311 - IMPRESION;;45603.39490740735;0.13625;42699.0;0.1361111111111111;123;Conf Rollos;HOM  3060;True;False;(3060) XRTEH7040OIMP-BOBINA OBRA 46 CM TEHUELCHE IMPRESA ROLLO 70 MM CANT:163;0.125;0.011111111111111112;1.0;163.0;0.0;2024-11-07;09:28:39
308041;2;4;5296 - CONFECCION;;45603.53115740736;0.43;42699.0;0.4305555555555556;123;Conf Rollos;HOM  3048;True;False;QUIMICO 76X30 (3048) MS763050-ROLLOS QUIMICO 76 X 30 X 50 ROLLOS CANT:5000;0.08333333333333333;0.3472222222222222;1.0;5000.0;0.0;2024-11-07;12:44:51
308042;2;4;5288 - CONFECCION;;45604.936574074025;0.12458333333333334;42699.0;0.125;123;Conf Rollos;HOM  3041;True;False;(3041) M21025CF-FAX 21cm caja x 6 CANT:600;0.08333333333333333;0.041666666666666664;1.0;600.0;0.0;2024-11-08;22:28:39
308044;2;4;5281 - IMPRESION;;45626.34990740736;0.15;42699.0;0.15;123;Conf Rollos;HOM  3038;True;False;(3038) XRREY7530IMP-BOBINA IMPRESA CANT:371;0.125;0.025;1.0;371.0;0.0;2024-11-30;08:23:51
