Codigo;CodigoSolapa;CodigoRenglon;Texto;TextoToolTip;HoraInicio;CantidadHoras;HoraInicioProg;CantidadHorasProg;Renglones;Solapas;ID;Disponible;Finalizada;Descripcion;CantidadHorasProgPrep;CantidadHorasProgProd;FactorConversion;Cantidad;Cantidad1;FechaInicioConvertida;HoraInicioConvertida
279661;2;4;69429 - CONFECCION;;45600.13574;0.7775;42430;0.777083333;123;Conf Rollos;FAM 30657;TRUE;FALSE;(30657) RP2106750-Rollo 2 pulgadas 106;;;;;;;
284709;2;4;70125 - CONFECCION;;45599.35824;0.7775;42459;0.777083333;123;Conf Rollos;FAM 30909;TRUE;FALSE;(30909) RP2106750-Rollo 2 pulgadas 106;;;;;;;
284710;2;4;70123 - CONFECCION;;45598.46991;0.63875;42459;0.638888889;123;Conf Rollos;FAM 30908;TRUE;FALSE;(30908) RP3914100-Rollo 3 pulgadas 91.4 cm x 100 m;;;;;;;
285825;2;4;70356 - CONFECCION;;45599.10866;0.249583333;42465;0.25;123;Conf Rollos;FAM 31006;TRUE;FALSE;(31006) RP2914050-Rollos 2 pulgadas 91.4 cm x 50 m Offset 80 g;;;;;;;
287279;1;6;CF;;45646.32422;1.826655746;42483.12891;0;370;Confecc Bolsas;;TRUE;FALSE;;0;0;1;0;0;12/20/2024;7:46:52
291543;2;4;71572 - CONFECCION;;45598.27616;0.19375;42523;0.19375;123;Conf Rollos;FAM 31438;TRUE;FALSE;(31438) RP2914050-Rollos 2 pulgadas 91.4 cm x 50 m Offset 80 g;;;;;;;
300643;1;7;NP;;45650.55078;2.017988443;42522.53906;0;395;Confecc Bolsas;;TRUE;FALSE;;0;0;1;0;0;12/24/2024;13:13:07
302029;2;4;71682 - CONFECCION;;45600.91324;2.305416667;42650;2.305555556;123;Conf Rollos;FAM 31473;TRUE;FALSE;(31473) RP2610050-Rollo 2 pulgadas 61 cm x 50 m Offset 80 g Funda po CANT:800;0.083333333;2.222222222;1;800;0;11/4/2024;21:55:03
307770;2;4;5330 - IMPRESION;;45626.19991;0.15;42698;0.15;123;Conf Rollos;HOM  3070;TRUE;FALSE;(3070) XRJFS0001IMP-BOBINA OBRA  055 GR 46 CM JFS IMPRESA CANT:371;0.125;0.025;1;371;0;11/30/2024;4:47:51
307772;2;4;5327 - IMPRESION;;45603.21866;0.17625;42698;0.176388889;123;Conf Rollos;HOM  3069;TRUE;FALSE;(3069) XRREY7530IMP-BOBINA IMPRESA CANT:743;0.125;0.051388889;1;743;0;11/7/2024;5:14:51
307789;2;4;5334 - CONFECCION;;45605.06116;0.2225;42697;0.222222222;123;Conf Rollos;HOM  3072;TRUE;FALSE;(3072) RP2610045-Rollos 2 pulgadas 61.0 cm x 45 m Offset 90 gr CANT:50;0.083333333;0.138888889;1;50;0;11/9/2024;1:28:03
308035;2;4;5311 - IMPRESION;;45603.39491;0.13625;42699;0.136111111;123;Conf Rollos;HOM  3060;TRUE;FALSE;(3060) XRTEH7040OIMP-BOBINA OBRA 46 CM TEHUELCHE IMPRESA ROLLO 70 MM CANT:163;0.125;0.011111111;1;163;0;11/7/2024;9:28:39
308041;2;4;5296 - CONFECCION;;45603.53116;0.43;42699;0.430555556;123;Conf Rollos;HOM  3048;TRUE;FALSE;QUIMICO 76X30 (3048) MS763050-ROLLOS QUIMICO 76 X 30 X 50 ROLLOS CANT:5000;0.083333333;0.347222222;1;5000;0;11/7/2024;12:44:51
308042;2;4;5288 - CONFECCION;;45604.93657;0.124583333;42699;0.125;123;Conf Rollos;HOM  3041;TRUE;FALSE;(3041) M21025CF-FAX 21cm caja x 6 CANT:600;0.083333333;0.041666667;1;600;0;11/8/2024;22:28:39
308044;2;4;5281 - IMPRESION;;45626.34991;0.15;42699;0.15;123;Conf Rollos;HOM  3038;TRUE;FALSE;(3038) XRREY7530IMP-BOBINA IMPRESA CANT:371;0.125;0.025;1;371;0;11/30/2024;8:23:51
308045;2;4;5279 - CONFECCION;;45605.28366;20.91625;42699;20.91666667;123;Conf Rollos;HOM  3037;TRUE;FALSE;(3037) ZRMIMO7630DIMP-BOBINA OBRA 55 GRS 46 CM MIIMO IMPRESA ROLLO 76 MM CANT:39501;0.083333333;20.83333333;1;300000;0;11/9/2024;6:48:27
308047;2;4;5257 - CONFECCION;;45603.96116;0.975416667;42699;0.975694444;123;Conf Rollos;HOM  3022;TRUE;FALSE;(3022) 10048B00490AP-BOB. PAPEL TERMICO BLCO POS/FAX GRADE 048 GR 49 CM CANT:317;0.083333333;0.892361111;1;3000;0;11/7/2024;23:04:03
308054;2;4;5276 - CONFECCION;;45628.48616;0.7775;42698;0.777083333;123;Conf Rollos;HOM  3036;TRUE;FALSE;QUIMICO 76X30 (3036) MS763050-ROLLOS QUIMICO 76 X 30 X 50 ROLLOS CANT:10000;0.083333333;0.69375;1;10000;0;12/2/2024;11:40:03
308055;2;4;5268 - CONFECCION;;45626.49991;0.5;42698;0.5;123;Conf Rollos;HOM  3030;TRUE;FALSE;(3030) XRREY7530IMP-BOBINA IMPRESA CANT:743;0.083333333;0.416666667;1;6000;0;11/30/2024;11:59:51
308057;2;4;5291 - CONFECCION;;45627.37532;0.7775;42699;0.777083333;123;Conf Rollos;HOM  3043;TRUE;FALSE;R.OBRA 70X40 (3043) ZRANTH7040-CJ X 50 ROLLOS ANTONIAZZI HNOS OBRA 70X40 CANT:10000;0.083333333;0.69375;1;10000;0;12/1/2024;9:00:27
308062;2;4;5292 - CONFECCION;;45629.26366;0.7775;42699;0.777083333;123;Conf Rollos;HOM  3044;TRUE;FALSE;(3044) ZRPAT1179-CJ X 50 ROLLOS BCO PATAGONIA 70 X 40 1179 CANT:10000;0.083333333;0.69375;1;10000;0;12/3/2024;6:19:39
308072;2;4;;;45627.20866;0.166666667;42698;0;123;Conf Rollos;HOM  3071;TRUE;FALSE;(3071) 10048B00490AP-BOB. PAPEL TERMICO BLCO POS/FAX GRADE 048 GR 49 CM CANT:422;0;0;1;0;0;12/1/2024;5:00:27
308073;2;4;;;45628.15282;0.166666667;42698;0.166666667;123;Conf Rollos;HOM  3068;TRUE;FALSE;(3068) M21025-6 ROLLOS DE FAX 21 CMS X 25 MTS CANT:456;0;0;1;0;0;12/2/2024;3:40:03
