OP;descripcionCliente;descripcionProducto;cantidad;fechaEntrega;OT;codmp;codigoProducto;cantOT;fechaEmision;codMaq;subID;camposTexto;saccod1;alto;ventana
13615  ;PANUELOS DEL SUR;TEPDS055/56 - ESTUCHES CUBO 120X120X120. Estuche. 495 x 360 mm. En Cartulina Duplex PDS de 320 g. 5 colores de frente  Barniz brillante, Troquelado, Pegado ventana, Pegado lateral;11100.0;2023-10-31;13615;Cartulina Duplex PDS;-TEPDS055-TEPDS056-;40000.0;2024-11-01;;1;13615   - PANUELOS DEL SUR - TEPDS055/56 - ESTUCHES CUBO 120X120X120. Estuche. 495 x 360 mm. En Cartulina Duplex PDS de 320 g. 5 colores de frente  Barniz br;6;0;0
14383  ;EYELIT;ESTUCHE SLIP. Estuche. 150 mm. x 120 mm. x 35 mm. En Cartulina Triplex PDS de 320 g. 2 colores de frente  Barniz mate, Stamping, Troquelado, Relieve, Pegado lateral;35167.0;2024-10-31;14383;Cartulina Triplex PDS FABRICA;-TEEYELIT041-;300000.0;2024-11-20;;1;14383   - EYELIT - ESTUCHE SLIP. Estuche. 150 mm. x 120 mm. x 35 mm. En Cartulina Triplex PDS de 320 g. 2 colores de frente  Barniz mate, Stamping,;362;0;0
14430  ;LA BIRRA;TEBIRRA021/23 - BIRRA DELIVERY NUEVO CIERRE. Estuche. 105 mm. x 205 mm. x 124 mm. En Cartulina Duplex PDS de 350 g. 4 colores de frente  Barniz brillante, Troquelado, Pegado fondo automatico;10700.0;2024-11-01;14430;Cartulina Duplex PDS FABRICA;-TEBIRRA021-TEBIRRA023-;40000.0;2024-11-20;;1;14430   - LA BIRRA - TEBIRRA021/23 - BIRRA DELIVERY NUEVO CIERRE. Estuche. 105 mm. x 205 mm. x 124 mm. En Cartulina Duplex PDS de 350 g. 4 colores de;658;0;0
14436  ;FOOD PACK;BASE DESAYUNO 25x25 CMC25010B. Estuche. 585 x 585 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;10400.0;2024-11-20;14436;MICROCORRUGADO;-CMC25010-;10000.0;2024-11-11;;1;14436   - FOOD PACK - BASE DESAYUNO 25x25 CMC25010B. Estuche. 585 x 585 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;479;0;0
14437  ;FOOD PACK;BASE DESAYUNO 25x25 CMC25010B. Estuche. 585 x 585 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;2900.0;2024-11-20;14437;MICROCORRUGADO;-CMC25025B-;2500.0;2024-11-11;;1;14437   - FOOD PACK - BASE DESAYUNO 25x25 CMC25010B. Estuche. 585 x 585 mm. En MICROCORRUGADO de 400 g. 0 color de frente  Troquelado;479;0;0
14445  ;CACHAI;- (TECACHA033 - FS 1 CACHAMAI AMARILLO REGULAR X 20 SAQ) - Desglosada de la O.T.: 14412;34734.0;2024-10-23;14445;Cartulina Duplex PDS FABRICA;-TECACHA033-;200000.0;2025-01-03;;1;14445   - CACHAI - - (TECACHA033 - FS 1 CACHAMAI AMARILLO REGULAR X 20 SAQ) - Desglosada de la O.T.: 14412;734;0;0
14470  ;DEMA 901270;TEDEMA500 - 15.5 35 3.5 F030X33 - F032X33 FAJA) - Desglosada de la O.T.: 14455;4650.0;2024-11-25;14470;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA500-;4000.0;2025-01-03;;1;14470   - DEMA 901270 - TEDEMA500 - 15.5 35 3.5 F030X33 - F032X33 FAJA) - Desglosada de la O.T.: 14455;682;0;0
14480  ;ATALAYA;TEATALAYA004 - CAJA PARA TAZAS CON CUNA. Estuche. 83 mm. x 129 mm. x 107 mm. En Cartulina Triplex PDS de 350 g. 0 color de frente  Troquelado, Pegado fondo automatico;3350.0;2024-11-08;14480;Cartulina Triplex PDS FABRICA;-TEATALAYA004-TEATALAYA004C-;2850.0;2024-11-01;;1;14480   - ATALAYA - TEATALAYA004 - CAJA PARA TAZAS CON CUNA. Estuche. 83 mm. x 129 mm. x 107 mm. En Cartulina Triplex PDS de 350 g. 0 color de frent;765;0;0
14481  ;WEGA;FAP-3268/130   JFA-0282/130. Estuche. 298 mm. x 237 mm. x 43 mm. En Cartulina Duplex PDS de 290 g. 3 colores de frente  Barniz brillante, Troquelado, Pegado fondo automatico;11000.0;2024-11-25;14481;Cartulina Duplex PDS FABRICA;-TEWFAP3268-TEWJFA0282-;20000.0;2024-11-06;;1;14481   - WEGA - FAP-3268/130   JFA-0282/130. Estuche. 298 mm. x 237 mm. x 43 mm. En Cartulina Duplex PDS de 290 g. 3 colores de frente  Barniz b;788;0;0
14482  ;ALEJPA;TEALEJ005 EST. AVON BIJOUTERIE CHICO C/ CUNA. Estuche c/Cuna Interior. 29 mm. x 45 mm. x 45 mm. En CARTULINA TX SUPERA WHITE de 208 g. 2 colores de frente y 1 color de dorso.  Impresion DORSO, Barniz brillante, Troquelado, Pegado lateral;3415.0;2024-11-14;14482;CARTULINA TX SUPERA WHITE BRASIL;-TEALEJ005-TEALEJ005C-;25000.0;2024-11-06;;1;14482   - ALEJPA - TEALEJ005 EST. AVON BIJOUTERIE CHICO C/ CUNA. Estuche c/Cuna Interior. 29 mm. x 45 mm. x 45 mm. En CARTULINA TX SUPERA WHITE de ;335;0;0
14483  ;901329 HANESBRANDS ARGENTINA;TEHANES014 - TAPA DE CAJA CORPINOS T SOFT Y TDB. Estuche. 655 x 773 mm. En CARTULINA TX SUPERA WHITE de 320 g. 1 color de frente  Barniz brillante, Laminado Polip. Mate , Troquelado, Pegado Terceros;2600.0;2024-11-29;14483;CARTULINA TX SUPERA WHITE DIST.;-TEHANES014-;2000.0;2024-11-07;;1;14483   - 901329 HANESBRANDS ARGENTINA - TEHANES014 - TAPA DE CAJA CORPINOS T SOFT Y TDB. Estuche. 655 x 773 mm. En CARTULINA TX SUPERA WHITE de 320 g. 1 color de frente;427;0;0
14484  ;901329 HANESBRANDS ARGENTINA;(FOSFOREREGDE)_ TEHANES015 -ESTUCHE TAZA SOFT GRANDE BASE Y FUNDA. Estuche. 705 x 885 mm. En CARTULINA TX SUPERA WHITE de 300 g. 1 color de frente  Barniz brillante, Laminado Polip. Mate , Troquelado, Pegado lateral;4200.0;2024-11-29;14484;CARTULINA TX SUPERA WHITE DIST.;-TEHANES015-TEHANES015B-;3500.0;2024-11-07;;1;14484   - 901329 HANESBRANDS ARGENTINA - (FOSFOREREGDE)_ TEHANES015 -ESTUCHE TAZA SOFT GRANDE BASE Y FUNDA. Estuche. 705 x 885 mm. En CARTULINA TX SUPERA WHITE de 300 g.;441;0;0
14486  ;901329 HANESBRANDS ARGENTINA;TEHANES030 - Estuche Corpino MD 16x16 (ESTUMD016). Estuche. 160 mm. x 160 mm. x 37 mm. En CARTULINA TRiPLEX iMPO ( iB. BR.) de 280 grs./m2, impresion 4 colores de frente y 1 color de dorso.  Lamiando OPP Mate   Laca UV Brillante Sector., Troquelados, y Pe;8600.0;2024-11-29;14486;CARTULINA TX SUPERA WHITE DIST.;-TEHANES030-;15000.0;2024-11-07;;1;14486   - 901329 HANESBRANDS ARGENTINA - TEHANES030 - Estuche Corpino MD 16x16 (ESTUMD016). Estuche. 160 mm. x 160 mm. x 37 mm. En CARTULINA TRiPLEX iMPO ( iB. BR.) de 2;037;0;0
14487  ;DEMA 901270;DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;3650.0;2024-11-24;14487;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA303-TEDEMA307-;6000.0;2024-11-01;;1;14487   - DEMA 901270 - DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca se;412;0;0
14488  ;DEMA 901270;DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2600.0;2024-11-24;14488;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA304-TEDEMA305-;4000.0;2024-11-01;;1;14488   - DEMA 901270 - DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca se;412;0;0
14489  ;DEMA 901270;DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;1550.0;2024-11-24;14489;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA306-TEDEMA310-;2000.0;2024-11-01;;1;14489   - DEMA 901270 - DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca se;412;0;0
14490  ;DEMA 901270;DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca sectorizada, Stamping, Troquelado, Pegado lateral;2325.0;2024-11-24;14490;CARTULINA TX SUPERA WHITE BRASIL;-TEDEMA309-;3500.0;2024-11-01;;1;14490   - DEMA 901270 - DEMA ESTUCHE 140X210X35. Estuche. 412 x 363 mm. En CARTULINA TX SUPERA WHITE de 320 g. 6 colores de frente  Barniz mate, Laca se;412;0;0
